# File outputs are as follows! #,,,,,,
# OutputType, SourceAddress, TargetAddress, PacketSize, Timestamp, Write_Frequency#,
summary,Watch,Smartphone,13,1489780471197,15000,Fri 19:54:31
summary,Watch,Smartphone,6,1489780486201,15000,Fri 19:54:46
summary,Watch,Smartphone,3,1489780501204,15000,Fri 19:55:01
summary,Watch,Smartphone,10,1489780516206,15000,Fri 19:55:16
summary,Watch,Smartphone,87,1489780531208,15000,Fri 19:55:31
summary,Watch,Smartphone,2,1489780549953,15000,Fri 19:55:50
summary,Watch,Smartphone,2067,1489780564960,15000,Fri 19:56:05
summary,Watch,Smartphone,62,1489780579970,15000,Fri 19:56:20
summary,Watch,Smartphone,60,1489780594998,15000,Fri 19:56:35
summary,Watch,Smartphone,40,1489780610003,15000,Fri 19:56:50
summary,Watch,Smartphone,100,1489780625017,15000,Fri 19:57:05
summary,Watch,Smartphone,60,1489780640048,15000,Fri 19:57:20
summary,Watch,Smartphone,80,1489780655073,15000,Fri 19:57:35
summary,Watch,Smartphone,20,1489780670137,15000,Fri 19:57:50
summary,Watch,Smartphone,60,1489780685145,15000,Fri 19:58:05
summary,Watch,Smartphone,20,1489780700152,15000,Fri 19:58:20
summary,Watch,Smartphone,20,1489780716168,15000,Fri 19:58:36
summary,Watch,Smartphone,40,1489780731210,15000,Fri 19:58:51
summary,Watch,Smartphone,60,1489780746235,15000,Fri 19:59:06
summary,Watch,Smartphone,20,1489780761260,15000,Fri 19:59:21
summary,Watch,Smartphone,20,1489780776266,15000,Fri 19:59:36
summary,Watch,Smartphone,40,1489780791269,15000,Fri 19:59:51
summary,Watch,Smartphone,40,1489780806278,15000,Fri 20:00:06
summary,Watch,Smartphone,20,1489780826015,15000,Fri 20:00:26
summary,Watch,Smartphone,40,1489780843445,15000,Fri 20:00:43
summary,Watch,Smartphone,120,1489780858465,15000,Fri 20:00:58
summary,Watch,Smartphone,120,1489780879866,15000,Fri 20:01:20
summary,Watch,Smartphone,40,1489780894877,15000,Fri 20:01:35
summary,Watch,Smartphone,20,1489780909887,15000,Fri 20:01:50
summary,Watch,Smartphone,120,1489780933178,15000,Fri 20:02:13
summary,Watch,Smartphone,200,1489780954474,15000,Fri 20:02:34
summary,Watch,Smartphone,240,1489780978250,15000,Fri 20:02:58
summary,Watch,Smartphone,140,1489781003652,15000,Fri 20:03:24
summary,Watch,Smartphone,40,1489781026073,15000,Fri 20:03:46
summary,Watch,Smartphone,40,1489781043228,15000,Fri 20:04:03
summary,Watch,Smartphone,100,1489781070201,15000,Fri 20:04:30
summary,Watch,Smartphone,140,1489781093662,15000,Fri 20:04:54
summary,Watch,Smartphone,160,1489781112320,15000,Fri 20:05:12
summary,Watch,Smartphone,200,1489781131132,15000,Fri 20:05:31
summary,Watch,Smartphone,80,1489781153229,15000,Fri 20:05:53
summary,Watch,Smartphone,200,1489781178666,15000,Fri 20:06:19
summary,Watch,Smartphone,100,1489781195482,15000,Fri 20:06:35
summary,Watch,Smartphone,320,1489781213731,15000,Fri 20:06:54
summary,Watch,Smartphone,340,1489781233777,15000,Fri 20:07:14
summary,Watch,Smartphone,100,1489781250117,15000,Fri 20:07:30
summary,Watch,Smartphone,20,1489781266151,15000,Fri 20:07:46
summary,Watch,Smartphone,100,1489781284407,15000,Fri 20:08:04
summary,Watch,Smartphone,80,1489781307580,15000,Fri 20:08:28
summary,Watch,Smartphone,80,1489781332445,15000,Fri 20:08:52
summary,Watch,Smartphone,60,1489781359176,15000,Fri 20:09:19
summary,Watch,Smartphone,100,1489781376365,15000,Fri 20:09:36
summary,Watch,Smartphone,20,1489781396170,15000,Fri 20:09:56
summary,Watch,Smartphone,60,1489781419376,15000,Fri 20:10:19
summary,Watch,Smartphone,20,1489781443203,15000,Fri 20:10:43
summary,Watch,Smartphone,80,1489781468212,15000,Fri 20:11:08
summary,Watch,Smartphone,120,1489781487713,15000,Fri 20:11:28
summary,Watch,Smartphone,60,1489781515506,15000,Fri 20:11:56
summary,Watch,Smartphone,60,1489781540343,15000,Fri 20:12:20
summary,Watch,Smartphone,140,1489781562122,15000,Fri 20:12:42
summary,Watch,Smartphone,20,1489781577598,15000,Fri 20:12:58
summary,Watch,Smartphone,60,1489781599539,15000,Fri 20:13:20
summary,Watch,Smartphone,60,1489781627573,15000,Fri 20:13:48
summary,Watch,Smartphone,80,1489781646696,15000,Fri 20:14:07
summary,Watch,Smartphone,20,1489781666469,15000,Fri 20:14:26
summary,Watch,Smartphone,60,1489781685348,15000,Fri 20:14:45
summary,Watch,Smartphone,100,1489781708852,15000,Fri 20:15:09
summary,Watch,Smartphone,40,1489781739667,15000,Fri 20:15:40
summary,Watch,Smartphone,140,1489781764845,15000,Fri 20:16:05
summary,Watch,Smartphone,20,1489781781641,15000,Fri 20:16:22
summary,Watch,Smartphone,160,1489781802048,15000,Fri 20:16:42
summary,Watch,Smartphone,80,1489781817468,15000,Fri 20:16:57
summary,Watch,Smartphone,140,1489781836565,15000,Fri 20:17:17
summary,Watch,Smartphone,140,1489781856672,15000,Fri 20:17:37
summary,Watch,Smartphone,20,1489781883229,15000,Fri 20:18:03
summary,Watch,Smartphone,120,1489781909170,15000,Fri 20:18:29
summary,Watch,Smartphone,40,1489781929097,15000,Fri 20:18:49
summary,Watch,Smartphone,20,1489781945183,15000,Fri 20:19:05
summary,Watch,Smartphone,140,1489781974730,15000,Fri 20:19:35
summary,Watch,Smartphone,100,1489781995728,15000,Fri 20:19:56
summary,Watch,Smartphone,80,1489782022902,15000,Fri 20:20:23
summary,Watch,Smartphone,200,1489782039835,15000,Fri 20:20:40
summary,Watch,Smartphone,220,1489782062528,15000,Fri 20:21:03
summary,Watch,Smartphone,160,1489782082389,15000,Fri 20:21:22
summary,Watch,Smartphone,160,1489782097393,15000,Fri 20:21:37
summary,Watch,Smartphone,20,1489782112406,15000,Fri 20:21:52
summary,Watch,Smartphone,80,1489782127416,15000,Fri 20:22:07
summary,Watch,Smartphone,100,1489782142429,15000,Fri 20:22:22
summary,Watch,Smartphone,220,1489782157442,15000,Fri 20:22:37
summary,Watch,Smartphone,220,1489782172449,15000,Fri 20:22:52
summary,Watch,Smartphone,140,1489782187456,15000,Fri 20:23:07
summary,Watch,Smartphone,80,1489782202497,15000,Fri 20:23:22
summary,Watch,Smartphone,120,1489782217518,15000,Fri 20:23:38
summary,Watch,Smartphone,120,1489782232564,15000,Fri 20:23:53
summary,Watch,Smartphone,80,1489782247592,15000,Fri 20:24:08
summary,Watch,Smartphone,140,1489782262640,15000,Fri 20:24:23
summary,Watch,Smartphone,20,1489782277665,15000,Fri 20:24:38
summary,Watch,Smartphone,120,1489782292707,15000,Fri 20:24:53
summary,Watch,Smartphone,40,1489782307738,15000,Fri 20:25:08
summary,Watch,Smartphone,160,1489782322762,15000,Fri 20:25:23
summary,Watch,Smartphone,120,1489782337795,15000,Fri 20:25:38
summary,Watch,Smartphone,180,1489782352849,15000,Fri 20:25:53
summary,Watch,Smartphone,100,1489782367906,15000,Fri 20:26:08
summary,Watch,Smartphone,40,1489782383048,15000,Fri 20:26:23
summary,Watch,Smartphone,200,1489782398069,15000,Fri 20:26:38
summary,Watch,Smartphone,180,1489782413103,15000,Fri 20:26:53
summary,Watch,Smartphone,80,1489782428126,15000,Fri 20:27:08
summary,Watch,Smartphone,100,1489782443150,15000,Fri 20:27:23
summary,Watch,Smartphone,80,1489782458189,15000,Fri 20:27:38
summary,Watch,Smartphone,60,1489782473209,15000,Fri 20:27:53
summary,Watch,Smartphone,180,1489782488226,15000,Fri 20:28:08
summary,Watch,Smartphone,200,1489782503269,15000,Fri 20:28:23
summary,Watch,Smartphone,80,1489782518301,15000,Fri 20:28:38
summary,Watch,Smartphone,140,1489782533324,15000,Fri 20:28:53
summary,Watch,Smartphone,60,1489782548344,15000,Fri 20:29:08
summary,Watch,Smartphone,40,1489782563365,15000,Fri 20:29:23
summary,Watch,Smartphone,80,1489782578370,15000,Fri 20:29:38
summary,Watch,Smartphone,160,1489782593390,15000,Fri 20:29:53
summary,Watch,Smartphone,140,1489782608425,15000,Fri 20:30:08
summary,Watch,Smartphone,140,1489782623463,15000,Fri 20:30:23
summary,Watch,Smartphone,40,1489782638506,15000,Fri 20:30:39
summary,Watch,Smartphone,140,1489782653548,15000,Fri 20:30:54
summary,Watch,Smartphone,160,1489782668583,15000,Fri 20:31:09
summary,Watch,Smartphone,180,1489782683605,15000,Fri 20:31:24
summary,Watch,Smartphone,140,1489782698628,15000,Fri 20:31:39
summary,Watch,Smartphone,60,1489782713662,15000,Fri 20:31:54
summary,Watch,Smartphone,160,1489782728700,15000,Fri 20:32:09
summary,Watch,Smartphone,80,1489782743722,15000,Fri 20:32:24
summary,Watch,Smartphone,60,1489782758744,15000,Fri 20:32:39
summary,Watch,Smartphone,20,1489782773784,15000,Fri 20:32:54
summary,Watch,Smartphone,60,1489782788809,15000,Fri 20:33:09
summary,Watch,Smartphone,20,1489782803820,15000,Fri 20:33:24
summary,Watch,Smartphone,60,1489782818846,15000,Fri 20:33:39
summary,Watch,Smartphone,60,1489782833884,15000,Fri 20:33:54
summary,Watch,Smartphone,100,1489782848921,15000,Fri 20:34:09
summary,Watch,Smartphone,80,1489782863943,15000,Fri 20:34:24
summary,Watch,Smartphone,120,1489782878987,15000,Fri 20:34:39
summary,Watch,Smartphone,20,1489782894027,15000,Fri 20:34:54
summary,Watch,Smartphone,120,1489782909065,15000,Fri 20:35:09
summary,Watch,Smartphone,180,1489782924145,15000,Fri 20:35:24
summary,Watch,Smartphone,60,1489782939183,15000,Fri 20:35:39
summary,Watch,Smartphone,80,1489782954218,15000,Fri 20:35:54
summary,Watch,Smartphone,40,1489782969262,15000,Fri 20:36:09
summary,Watch,Smartphone,120,1489782984300,15000,Fri 20:36:24
summary,Watch,Smartphone,80,1489782999323,15000,Fri 20:36:39
summary,Watch,Smartphone,60,1489783014333,15000,Fri 20:36:54
summary,Watch,Smartphone,160,1489783029353,15000,Fri 20:37:09
summary,Watch,Smartphone,80,1489783044393,15000,Fri 20:37:24
summary,Watch,Smartphone,60,1489783059448,15000,Fri 20:37:39
summary,Watch,Smartphone,20,1489783083393,15000,Fri 20:38:03
summary,Watch,Smartphone,40,1489783098446,15000,Fri 20:38:18
summary,Watch,Smartphone,80,1489783113473,15000,Fri 20:38:33
summary,Watch,Smartphone,40,1489783128488,15000,Fri 20:38:48
summary,Watch,Smartphone,20,1489783143496,15000,Fri 20:39:03
summary,Watch,Smartphone,20,1489783165313,15000,Fri 20:39:25
summary,Watch,Smartphone,20,1489783180324,15000,Fri 20:39:40
summary,Watch,Smartphone,100,1489783195348,15000,Fri 20:39:55
summary,Watch,Smartphone,80,1489783210401,15000,Fri 20:40:10
summary,Watch,Smartphone,160,1489783225407,15000,Fri 20:40:25
summary,Watch,Smartphone,20,1489783246252,15000,Fri 20:40:46
summary,Watch,Smartphone,20,1489783261277,15000,Fri 20:41:01
summary,Watch,Smartphone,60,1489783276299,15000,Fri 20:41:16
summary,Watch,Smartphone,2001,1489783291318,15000,Fri 20:41:31
summary,Watch,Smartphone,2576,1489783306331,15000,Fri 20:41:46
summary,Watch,Smartphone,3,1489785624352,15000,Fri 21:20:24
summary,Watch,Smartphone,3272,1489785639356,15000,Fri 21:20:39
summary,Watch,Smartphone,2,1489788170403,15000,Fri 22:02:50
summary,Watch,Smartphone,3238,1489788185407,15000,Fri 22:03:05
summary,Watch,Smartphone,3,1489789158616,15000,Fri 22:19:19
summary,Watch,Smartphone,2087,1489789173625,15000,Fri 22:19:34
summary,Watch,Smartphone,3,1489790632129,15000,Fri 22:43:52
summary,Watch,Smartphone,2503,1489790647137,15000,Fri 22:44:07
summary,Watch,Smartphone,3,1489792201562,15000,Fri 23:10:02
summary,Watch,Smartphone,2330,1489792216566,15000,Fri 23:10:17
summary,Watch,Smartphone,3,1489794147491,15000,Fri 23:42:27
summary,Watch,Smartphone,2457,1489794167404,15000,Fri 23:42:47
summary,Watch,Smartphone,13,1489799862996,15000,Sat 01:17:43
summary,Watch,Smartphone,5722,1489799878000,15000,Sat 01:17:58
summary,Watch,Smartphone,2,1489799893003,15000,Sat 01:18:13
summary,Watch,Smartphone,20,1489799908012,15000,Sat 01:18:28
summary,Watch,Smartphone,2,1489802152163,15000,Sat 01:55:52
summary,Watch,Smartphone,2821,1489802167205,15000,Sat 01:56:07
summary,Watch,Smartphone,3,1489803890053,15000,Sat 02:24:50
summary,Watch,Smartphone,2184,1489803905060,15000,Sat 02:25:05
summary,Watch,Smartphone,3,1489805591528,15000,Sat 02:53:12
summary,Watch,Smartphone,2375,1489805606541,15000,Sat 02:53:27
summary,Watch,Smartphone,3,1489808016186,15000,Sat 03:33:36
summary,Watch,Smartphone,2840,1489808031198,15000,Sat 03:33:51
summary,Watch,Smartphone,3,1489809510243,15000,Sat 03:58:30
summary,Watch,Smartphone,2088,1489809525248,15000,Sat 03:58:45
summary,Watch,Smartphone,3,1489811519382,15000,Sat 04:31:59
summary,Watch,Smartphone,2457,1489811534401,15000,Sat 04:32:14
summary,Watch,Smartphone,3,1489812937110,15000,Sat 04:55:37
summary,Watch,Smartphone,2089,1489812952119,15000,Sat 04:55:52
summary,Watch,Smartphone,3,1489814397237,15000,Sat 05:19:57
summary,Watch,Smartphone,2007,1489814412287,15000,Sat 05:20:12
summary,Watch,Smartphone,3,1489815492642,15000,Sat 05:38:13
summary,Watch,Smartphone,1831,1489815507657,15000,Sat 05:38:28
summary,Watch,Smartphone,3,1489818040055,15000,Sat 06:20:40
summary,Watch,Smartphone,2679,1489818055066,15000,Sat 06:20:55
summary,Watch,Smartphone,3,1489819449681,15000,Sat 06:44:10
summary,Watch,Smartphone,1975,1489819464697,15000,Sat 06:44:25
summary,Watch,Smartphone,3,1489822213590,15000,Sat 07:30:14
summary,Watch,Smartphone,2712,1489822228598,15000,Sat 07:30:29
summary,Watch,Smartphone,3,1489824223617,15000,Sat 08:03:44
summary,Watch,Smartphone,2392,1489824238623,15000,Sat 08:03:59
summary,Watch,Smartphone,3,1489827023733,15000,Sat 08:50:24
summary,Watch,Smartphone,2699,1489827038741,15000,Sat 08:50:39
summary,Watch,Smartphone,12,1489827053748,15000,Sat 08:50:54
summary,Watch,Smartphone,3,1489828962217,15000,Sat 09:22:42
summary,Watch,Smartphone,2647,1489828977223,15000,Sat 09:22:57
summary,Watch,Smartphone,3,1489831822531,15000,Sat 10:10:23
summary,Watch,Smartphone,2891,1489831837554,15000,Sat 10:10:38
summary,Watch,Smartphone,494,1489831863584,15000,Sat 10:11:04
summary,Watch,Smartphone,3,1489833159404,15000,Sat 10:32:39
summary,Watch,Smartphone,2423,1489833174408,15000,Sat 10:32:54
summary,Watch,Smartphone,3,1489834969265,15000,Sat 11:02:49
summary,Watch,Smartphone,2488,1489834984269,15000,Sat 11:03:04
summary,Watch,Smartphone,2,1489837235468,15000,Sat 11:40:35
summary,Watch,Smartphone,3270,1489837252115,15000,Sat 11:40:52
summary,Watch,Smartphone,3,1489838487960,15000,Sat 12:01:28
summary,Watch,Smartphone,2312,1489838503397,15000,Sat 12:01:43
summary,Watch,Smartphone,3,1489840708418,15000,Sat 12:38:28
summary,Watch,Smartphone,3257,1489840723978,15000,Sat 12:38:44
summary,Watch,Smartphone,3,1489843518274,15000,Sat 13:25:18
summary,Watch,Smartphone,3209,1489843534043,15000,Sat 13:25:34
summary,Watch,Smartphone,3,1489843910468,15000,Sat 13:31:50
summary,Watch,Smartphone,1816,1489843925475,15000,Sat 13:32:05
summary,Watch,Smartphone,262,1489843940481,15000,Sat 13:32:20
summary,Watch,Smartphone,240,1489843963329,15000,Sat 13:32:43
summary,Watch,Smartphone,2,1489845855430,15000,Sat 14:04:15
summary,Watch,Smartphone,2790,1489845879936,15000,Sat 14:04:40
summary,Watch,Smartphone,3,1489847746426,15000,Sat 14:35:46
summary,Watch,Smartphone,2584,1489847765847,15000,Sat 14:36:06
summary,Watch,Smartphone,3,1489847949793,15000,Sat 14:39:10
summary,Watch,Smartphone,1733,1489847964795,15000,Sat 14:39:25
summary,Watch,Smartphone,151,1489847979799,15000,Sat 14:39:40
summary,Watch,Smartphone,20,1489847994802,15000,Sat 14:39:55
summary,Watch,Smartphone,60,1489848009804,15000,Sat 14:40:10
summary,Watch,Smartphone,60,1489848024809,15000,Sat 14:40:25
summary,Watch,Smartphone,2,1489850346223,15000,Sat 15:19:06
summary,Watch,Smartphone,3461,1489850365518,15000,Sat 15:19:26
summary,Watch,Smartphone,3,1489853016383,15000,Sat 16:03:36
summary,Watch,Smartphone,3322,1489853035850,15000,Sat 16:03:56
summary,Watch,Smartphone,13,1489857038417,15000,Sat 17:10:38
summary,Watch,Smartphone,4178,1489857069137,15000,Sat 17:11:09
summary,Watch,Smartphone,3,1489857940287,15000,Sat 17:25:40
summary,Watch,Smartphone,2312,1489857955294,15000,Sat 17:25:55
summary,Watch,Smartphone,82,1489857970299,15000,Sat 17:26:10
summary,Watch,Smartphone,2,1489857987878,15000,Sat 17:26:28
summary,Watch,Smartphone,1590,1489858002883,15000,Sat 17:26:43
summary,Watch,Smartphone,82,1489858017886,15000,Sat 17:26:58
summary,Watch,Smartphone,80,1489858032893,15000,Sat 17:27:13
summary,Watch,Smartphone,20,1489858047900,15000,Sat 17:27:28
summary,Watch,Smartphone,40,1489858062904,15000,Sat 17:27:43
summary,Watch,Smartphone,2,1489860355035,15000,Sat 18:05:55
summary,Watch,Smartphone,3398,1489860370064,15000,Sat 18:06:10
summary,Watch,Smartphone,3,1489861878870,15000,Sat 18:31:19
summary,Watch,Smartphone,2665,1489861893873,15000,Sat 18:31:34
summary,Watch,Smartphone,82,1489861908877,15000,Sat 18:31:49
summary,Watch,Smartphone,40,1489861923885,15000,Sat 18:32:04
summary,Watch,Smartphone,20,1489861938888,15000,Sat 18:32:19
summary,Watch,Smartphone,984,1489861953895,15000,Sat 18:32:34
summary,Watch,Smartphone,534,1489861968898,15000,Sat 18:32:49
summary,Watch,Smartphone,20,1489861983900,15000,Sat 18:33:04
summary,Watch,Smartphone,13,1490091126100,15000,Tue 10:12:06
summary,Watch,Smartphone,6,1490091141121,15000,Tue 10:12:21
